SKU,Description,Supplier,Year,Month,Sales,Stock,Open_PO,Lead_Time_Days,MOQ,Unit_Cost
A001,Product A,Supplier X,2026,1,900,400,0,20,100,12.5
A001,Product A,Supplier X,2026,2,950,400,0,20,100,12.5
A001,Product A,Supplier X,2026,3,1000,400,0,20,100,12.5
A001,Product A,Supplier X,2026,4,1100,400,0,20,100,12.5
A001,Product A,Supplier X,2026,5,980,400,0,20,100,12.5
A001,Product A,Supplier X,2026,6,1020,400,0,20,100,12.5
A001,Product A,Supplier X,2026,7,1080,400,0,20,100,12.5
A001,Product A,Supplier X,2026,8,1150,400,0,20,100,12.5
A001,Product A,Supplier X,2026,9,1200,400,0,20,100,12.5
A001,Product A,Supplier X,2026,10,1250,400,0,20,100,12.5
A001,Product A,Supplier X,2026,11,1300,400,0,20,100,12.5
A001,Product A,Supplier X,2026,12,1350,400,0,20,100,12.5
A002,Product B,Supplier Y,2026,1,210,800,200,30,200,8.0
A002,Product B,Supplier Y,2026,2,190,800,200,30,200,8.0
A002,Product B,Supplier Y,2026,3,230,800,200,30,200,8.0
A002,Product B,Supplier Y,2026,4,205,800,200,30,200,8.0
A002,Product B,Supplier Y,2026,5,220,800,200,30,200,8.0
A002,Product B,Supplier Y,2026,6,200,800,200,30,200,8.0
A002,Product B,Supplier Y,2026,7,215,800,200,30,200,8.0
A002,Product B,Supplier Y,2026,8,225,800,200,30,200,8.0
A002,Product B,Supplier Y,2026,9,205,800,200,30,200,8.0
A002,Product B,Supplier Y,2026,10,195,800,200,30,200,8.0
A002,Product B,Supplier Y,2026,11,210,800,200,30,200,8.0
A002,Product B,Supplier Y,2026,12,185,800,200,30,200,8.0
A003,Product C,Supplier Z,2026,1,45,900,0,45,100,25.0
A003,Product C,Supplier Z,2026,2,60,900,0,45,100,25.0
A003,Product C,Supplier Z,2026,3,40,900,0,45,100,25.0
A003,Product C,Supplier Z,2026,4,55,900,0,45,100,25.0
A003,Product C,Supplier Z,2026,5,35,900,0,45,100,25.0
A003,Product C,Supplier Z,2026,6,70,900,0,45,100,25.0
A003,Product C,Supplier Z,2026,7,50,900,0,45,100,25.0
A003,Product C,Supplier Z,2026,8,45,900,0,45,100,25.0
A003,Product C,Supplier Z,2026,9,65,900,0,45,100,25.0
A003,Product C,Supplier Z,2026,10,55,900,0,45,100,25.0
A003,Product C,Supplier Z,2026,11,40,900,0,45,100,25.0
A003,Product C,Supplier Z,2026,12,60,900,0,45,100,25.0
A004,Product D,Supplier X,2026,1,300,150,0,15,50,5.5
A004,Product D,Supplier X,2026,2,310,150,0,15,50,5.5
A004,Product D,Supplier X,2026,3,280,150,0,15,50,5.5
A004,Product D,Supplier X,2026,4,295,150,0,15,50,5.5
A004,Product D,Supplier X,2026,5,305,150,0,15,50,5.5
A004,Product D,Supplier X,2026,6,320,150,0,15,50,5.5
A004,Product D,Supplier X,2026,7,290,150,0,15,50,5.5
A004,Product D,Supplier X,2026,8,315,150,0,15,50,5.5
A004,Product D,Supplier X,2026,9,300,150,0,15,50,5.5
A004,Product D,Supplier X,2026,10,330,150,0,15,50,5.5
A004,Product D,Supplier X,2026,11,310,150,0,15,50,5.5
A004,Product D,Supplier X,2026,12,340,150,0,15,50,5.5
A005,Product E,Supplier Y,2026,1,130,600,0,25,100,18.0
A005,Product E,Supplier Y,2026,2,140,600,0,25,100,18.0
A005,Product E,Supplier Y,2026,3,150,600,0,25,100,18.0
A005,Product E,Supplier Y,2026,4,160,600,0,25,100,18.0
A005,Product E,Supplier Y,2026,5,145,600,0,25,100,18.0
A005,Product E,Supplier Y,2026,6,155,600,0,25,100,18.0
A005,Product E,Supplier Y,2026,7,165,600,0,25,100,18.0
A005,Product E,Supplier Y,2026,8,170,600,0,25,100,18.0
A005,Product E,Supplier Y,2026,9,160,600,0,25,100,18.0
A005,Product E,Supplier Y,2026,10,175,600,0,25,100,18.0
A005,Product E,Supplier Y,2026,11,180,600,0,25,100,18.0
A005,Product E,Supplier Y,2026,12,190,600,0,25,100,18.0
A006,Product F,Supplier Z,2026,1,650,300,500,10,100,3.2
A006,Product F,Supplier Z,2026,2,620,300,500,10,100,3.2
A006,Product F,Supplier Z,2026,3,700,300,500,10,100,3.2
A006,Product F,Supplier Z,2026,4,680,300,500,10,100,3.2
A006,Product F,Supplier Z,2026,5,710,300,500,10,100,3.2
A006,Product F,Supplier Z,2026,6,690,300,500,10,100,3.2
A006,Product F,Supplier Z,2026,7,720,300,500,10,100,3.2
A006,Product F,Supplier Z,2026,8,750,300,500,10,100,3.2
A006,Product F,Supplier Z,2026,9,730,300,500,10,100,3.2
A006,Product F,Supplier Z,2026,10,760,300,500,10,100,3.2
A006,Product F,Supplier Z,2026,11,780,300,500,10,100,3.2
A006,Product F,Supplier Z,2026,12,800,300,500,10,100,3.2
A007,Product G,Supplier X,2026,1,80,500,0,35,50,45.0
A007,Product G,Supplier X,2026,2,75,500,0,35,50,45.0
A007,Product G,Supplier X,2026,3,90,500,0,35,50,45.0
A007,Product G,Supplier X,2026,4,85,500,0,35,50,45.0
A007,Product G,Supplier X,2026,5,95,500,0,35,50,45.0
A007,Product G,Supplier X,2026,6,100,500,0,35,50,45.0
A007,Product G,Supplier X,2026,7,110,500,0,35,50,45.0
A007,Product G,Supplier X,2026,8,105,500,0,35,50,45.0
A007,Product G,Supplier X,2026,9,115,500,0,35,50,45.0
A007,Product G,Supplier X,2026,10,120,500,0,35,50,45.0
A007,Product G,Supplier X,2026,11,130,500,0,35,50,45.0
A007,Product G,Supplier X,2026,12,140,500,0,35,50,45.0
A008,Product H,Supplier Y,2026,1,400,900,0,20,100,2.8
A008,Product H,Supplier Y,2026,2,420,900,0,20,100,2.8
A008,Product H,Supplier Y,2026,3,390,900,0,20,100,2.8
A008,Product H,Supplier Y,2026,4,410,900,0,20,100,2.8
A008,Product H,Supplier Y,2026,5,430,900,0,20,100,2.8
A008,Product H,Supplier Y,2026,6,405,900,0,20,100,2.8
A008,Product H,Supplier Y,2026,7,440,900,0,20,100,2.8
A008,Product H,Supplier Y,2026,8,450,900,0,20,100,2.8
A008,Product H,Supplier Y,2026,9,460,900,0,20,100,2.8
A008,Product H,Supplier Y,2026,10,455,900,0,20,100,2.8
A008,Product H,Supplier Y,2026,11,470,900,0,20,100,2.8
A008,Product H,Supplier Y,2026,12,480,900,0,20,100,2.8
